BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201707,21,1830,201707,21,1830,118473,711864,MINNESOTA,27,2017,July,Thunderstorm Wind,C,1,AITKIN,DLH,21-JUL-17 18:30:00,CST-6,21-JUL-17 18:30:00,0,0,0,0,,,State Official,50.00,EG,,,,,,,,,,1,SW,MC GREGOR,1,SW,MC GREGOR,46.61,-93.31,46.61,-93.31,"Two storm systems, one to the north and the other to south, moved across most of northeastern Minnesota. The northern storm caused hail and sporadic wind damage until it moved to the north and northeast of Duluth where it blew down numerous trees in the Fredenberg and Island Lake areas. The southern storm system evolved into a bow echo that produced damaging winds.",Several trees were blown down.,CSV
201707,21,1835,201707,21,1835,118473,711865,MINNESOTA,27,2017,July,Hail,C,1,AITKIN,DLH,21-JUL-17 18:35:00,CST-6,21-JUL-17 18:35:00,0,0,0,0,,,Trained Spotter,1.25,,,,,,,,,,,3,E,HASSMAN,3,E,HASSMAN,46.62,-93.54,46.62,-93.54,"Two storm systems, one to the north and the other to south, moved across most of northeastern Minnesota. The northern storm caused hail and sporadic wind damage until it moved to the north and northeast of Duluth where it blew down numerous trees in the Fredenberg and Island Lake areas. The southern storm system evolved into a bow echo that produced damaging winds.",,CSV
201709,25,1315,201709,25,1930,119563,717429,IOWA,19,2017,September,Heavy Rain,C,153,POLK,DMX,25-SEP-17 13:15:00,CST-6,25-SEP-17 19:30:00,0,0,0,0,0.00K,0.00K,Social Media,,,,,,,,,,,,1,NW,CLIVE,1,NW,CLIVE,41.64,-93.8,41.64,-93.8,"A slow moving cold front worked its way across Iowa from northwest to southeast from the 24th through the 26th.  With its slow moving nature, it was a decent setup for areas to see repeated rounds of rainfall.  While the convective environment was not overly conducive for severe weather, a cluster of storms near Iowa Falls was able to produce damaging winds for a short period of time.  Otherwise, the overall setup produced training storms and heavy rainfall thanks to the slow moving front, unstable air mass, and mean winds flowing parallel to the front.  A number of locations received in excess of 3 inches of rainfall.",Public reported storm total heavy rainfall of 3.50 inches near 128th and Meredith in Urbandale.,CSV
201709,25,1600,201709,25,2145,119563,717430,IOWA,19,2017,September,Heavy Rain,C,23,BUTLER,DMX,25-SEP-17 16:00:00,CST-6,25-SEP-17 21:45:00,0,0,0,0,0.00K,0.00K,Social Media,,,,,,,,,,,,0,N,CLARKSVILLE,0,N,CLARKSVILLE,42.78,-92.67,42.78,-92.67,"A slow moving cold front worked its way across Iowa from northwest to southeast from the 24th through the 26th.  With its slow moving nature, it was a decent setup for areas to see repeated rounds of rainfall.  While the convective environment was not overly conducive for severe weather, a cluster of storms near Iowa Falls was able to produce damaging winds for a short period of time.  Otherwise, the overall setup produced training storms and heavy rainfall thanks to the slow moving front, unstable air mass, and mean winds flowing parallel to the front.  A number of locations received in excess of 3 inches of rainfall.",Public reported storm total heavy rainfall of 2.84 inches.,CSV
201709,15,535,201709,15,535,120512,722001,IOWA,19,2017,September,Thunderstorm Wind,C,47,CRAWFORD,DMX,15-SEP-17 05:35:00,CST-6,15-SEP-17 05:35:00,0,0,0,0,20.00K,0.00K,Public,50.00,EG,,,,,,,,,,5,SSE,VAIL,5,SSE,VAIL,42.0091,-95.1499,42.0091,-95.1499,A few storms occurred through the early morning hours on the 15th with one storm producing some wind damage to a farmstead in eastern Crawford County.,Damage was done to outbuildings and trees on the farmstead.,CSV
201707,22,442,201707,22,1235,118841,713962,IOWA,19,2017,July,Flash Flood,C,17,BREMER,DMX,22-JUL-17 04:42:00,CST-6,22-JUL-17 12:35:00,0,0,0,0,50.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,,,,,,1,NE,SUMNER,1,SE,SUMNER,42.8609,-92.0826,42.8409,-92.0847,"A weak semi-stationary boundary remained draped across Iowa in the overnight hours of the 20th into the 21st, which acted as a focus for initial storm development.  Storms early in the evening moved off to the southeast and was relatively quiet until the low level jet kicked in.  The overall convective environment was modest with MUCAPE values around 1000-2000 J/kg and unsupportive effective shear and best supported widespread back building convection.  While there were not many heavy rainfall reports, a report of 3.50 inches was made on the morning of the 21st.  Radar estimates put many areas in excess of 5 inches, causing local river and flash flooding.  Through the day and next evening, scattered storms and low level jet induced convection added another local 1 to 2 inches and exacerbated some localized flash flooding issues.",Emergency manager reported total evacuations in Sumner now.  Numerous roads continue to be underwater.  Electrical power in Sumner has been interrupted as well.,CSV
201707,22,636,201707,22,1235,118841,713964,IOWA,19,2017,July,Flash Flood,C,17,BREMER,DMX,22-JUL-17 06:36:00,CST-6,22-JUL-17 12:35:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,3,SW,BUCK CREEK,2,SSW,BUCK CREEK,42.7223,-92.1832,42.7206,-92.1633,"A weak semi-stationary boundary remained draped across Iowa in the overnight hours of the 20th into the 21st, which acted as a focus for initial storm development.  Storms early in the evening moved off to the southeast and was relatively quiet until the low level jet kicked in.  The overall convective environment was modest with MUCAPE values around 1000-2000 J/kg and unsupportive effective shear and best supported widespread back building convection.  While there were not many heavy rainfall reports, a report of 3.50 inches was made on the morning of the 21st.  Radar estimates put many areas in excess of 5 inches, causing local river and flash flooding.  Through the day and next evening, scattered storms and low level jet induced convection added another local 1 to 2 inches and exacerbated some localized flash flooding issues.",Law enforcement reported secondary roads just east-northeast of Readlyn covered with water and Highway 3 close to being inundated.,CSV
201707,19,1533,201707,19,1533,118399,711515,IOWA,19,2017,July,Thunderstorm Wind,C,195,WORTH,DMX,19-JUL-17 15:33:00,CST-6,19-JUL-17 15:33:00,0,0,0,0,75.00K,0.00K,Law Enforcement,56.00,EG,,,,,,,,,,2,ENE,HANLONTOWN,5,SSE,TENOLD,43.2845,-93.3502,43.357,-93.3493,"Strong thunderstorms initiated well to the west of the area the previous night, primarily in western South Dakota, and proceeded to track east southeast through the morning towards northern Iowa.  By the afternoon, instability had picked up to around 3000-4000 J/kg MUCAPE with 50+ kts of effective bulk shear.  The result was a strong and damaging wind producing MCS that moved across north-central and northeast Iowa which produced a number of wind damage and wind gust reports.","County dispatch reported overturned semis along I-35 around mile markers 203, 205, 207, and 208.  This is a delayed report and time estimated from radar.",CSV
201707,19,1537,201707,19,1537,118399,711517,IOWA,19,2017,July,Thunderstorm Wind,C,195,WORTH,DMX,19-JUL-17 15:37:00,CST-6,19-JUL-17 15:37:00,0,0,0,0,25.00K,0.00K,Emergency Manager,56.00,EG,,,,,,,,,,2,ENE,HANLONTOWN,2,ENE,HANLONTOWN,43.29,-93.35,43.29,-93.35,"Strong thunderstorms initiated well to the west of the area the previous night, primarily in western South Dakota, and proceeded to track east southeast through the morning towards northern Iowa.  By the afternoon, instability had picked up to around 3000-4000 J/kg MUCAPE with 50+ kts of effective bulk shear.  The result was a strong and damaging wind producing MCS that moved across north-central and northeast Iowa which produced a number of wind damage and wind gust reports.",Emergency manager reports semis blown over on I-35 near Highway 9.  This is a delayed report and time estimated from radar.,CSV
201708,13,1321,201708,13,1321,119906,718727,IOWA,19,2017,August,Funnel Cloud,C,81,HANCOCK,DMX,13-AUG-17 13:21:00,CST-6,13-AUG-17 13:21:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,3,NNW,HUTCHINS,3,NNW,HUTCHINS,43.1449,-93.9211,43.1449,-93.9211,A few showers were around and one produced a funnel cloud near St. Joseph.,Public reported a funnel cloud via social media.  This is a delayed report and time estimated from radar.,CSV
201707,19,1540,201707,19,1540,118399,711521,IOWA,19,2017,July,Thunderstorm Wind,C,195,WORTH,DMX,19-JUL-17 15:40:00,CST-6,19-JUL-17 15:40:00,0,0,0,0,0.00K,0.00K,Mesonet,52.00,MG,,,,,,,,,,2,E,HANLONTOWN,2,E,HANLONTOWN,43.28,-93.35,43.28,-93.35,"Strong thunderstorms initiated well to the west of the area the previous night, primarily in western South Dakota, and proceeded to track east southeast through the morning towards northern Iowa.  By the afternoon, instability had picked up to around 3000-4000 J/kg MUCAPE with 50+ kts of effective bulk shear.  The result was a strong and damaging wind producing MCS that moved across north-central and northeast Iowa which produced a number of wind damage and wind gust reports.",Iowa DOT RWIS in Hanlontown recorded a 60 mph wind gust.,CSV
201707,10,35,201707,10,45,118395,711471,IOWA,19,2017,July,Thunderstorm Wind,C,81,HANCOCK,DMX,10-JUL-17 00:35:00,CST-6,10-JUL-17 00:45:00,0,0,0,0,25.00K,100.00K,Emergency Manager,65.00,EG,,,,,,,,,,2,SSE,DUNCAN,1,SW,KLEMME,43.07,-93.71,43.0067,-93.6207,"During the evening of the 9th strong to severe storms initiated in parts of southern and western Minnesota near a surface low pressure center and attendant boundary and proceeded to move SE towards Iowa.  Eventually, prior to their entry into northern Iowa, the storms generally congealed and formed an MCS and rode the MUCAPE gradient S/SE into northern Iowa and produced numerous damaging wind reports and a couple for severe hail in the hours after midnight/early morning on the 10th.  The general environment was highly supportive for strong storms with MUCAPE values in excess of 2000 J/kg, and effective bulk shear in excess of 50 kts.",Emergency manager reported significant wind-driven hail damage to corn and bean fields between Britt and Klemme.  Golf ball or larger hail and 70 to 80 mph winds pulverized 5 to 6 foot cornstalks to stubble.  Trees and power lines also downed.,CSV
201707,10,200,201707,10,200,118395,711478,IOWA,19,2017,July,Thunderstorm Wind,C,171,TAMA,DMX,10-JUL-17 02:00:00,CST-6,10-JUL-17 02:00:00,0,0,0,0,20.00K,0.00K,Department of Highways,56.00,EG,,,,,,,,,,1,SW,BUCKINGHAM,1,SW,BUCKINGHAM,42.26,-92.46,42.26,-92.46,"During the evening of the 9th strong to severe storms initiated in parts of southern and western Minnesota near a surface low pressure center and attendant boundary and proceeded to move SE towards Iowa.  Eventually, prior to their entry into northern Iowa, the storms generally congealed and formed an MCS and rode the MUCAPE gradient S/SE into northern Iowa and produced numerous damaging wind reports and a couple for severe hail in the hours after midnight/early morning on the 10th.  The general environment was highly supportive for strong storms with MUCAPE values in excess of 2000 J/kg, and effective bulk shear in excess of 50 kts.",Iowa DOT reported power lines down along Highway 63 at mile marker 144.  Time estimated from radar.,CSV
201707,19,1545,201707,19,1545,118399,711523,IOWA,19,2017,July,Thunderstorm Wind,C,33,CERRO GORDO,DMX,19-JUL-17 15:45:00,CST-6,19-JUL-17 15:45:00,0,0,0,0,0.00K,0.00K,ASOS,55.00,MG,,,,,,,,,,1,W,(MCW)MASON CITY MUNI,1,W,(MCW)MASON CITY MUNI,43.15,-93.34,43.15,-93.34,"Strong thunderstorms initiated well to the west of the area the previous night, primarily in western South Dakota, and proceeded to track east southeast through the morning towards northern Iowa.  By the afternoon, instability had picked up to around 3000-4000 J/kg MUCAPE with 50+ kts of effective bulk shear.  The result was a strong and damaging wind producing MCS that moved across north-central and northeast Iowa which produced a number of wind damage and wind gust reports.",Mason City Municipal Airport recorded a 63 mph wind gust.,CSV
201707,6,1730,201707,6,1730,118522,712083,WISCONSIN,55,2017,July,Hail,C,7,BAYFIELD,DLH,06-JUL-17 17:30:00,CST-6,06-JUL-17 17:30:00,0,0,0,0,,,Public,1.00,,,,,,,,,,,4,SSW,DRUMMOND,4,SSW,DRUMMOND,46.27,-91.28,46.27,-91.28,"Several severe thunderstorms moved across northern Wisconsin and produced large hail and strong, gusty winds. Hail stones ranged in size from dime size up to a hen's egg size. The winds blew down several trees.",,CSV
201707,6,1736,201707,6,1736,118522,712084,WISCONSIN,55,2017,July,Hail,C,3,ASHLAND,DLH,06-JUL-17 17:36:00,CST-6,06-JUL-17 17:36:00,0,0,0,0,,,Public,1.00,,,,,,,,,,,0,E,ASHLAND,0,E,ASHLAND,46.58,-90.87,46.58,-90.87,"Several severe thunderstorms moved across northern Wisconsin and produced large hail and strong, gusty winds. Hail stones ranged in size from dime size up to a hen's egg size. The winds blew down several trees.",,CSV
201707,6,1808,201707,6,1808,118522,712085,WISCONSIN,55,2017,July,Hail,C,113,SAWYER,DLH,06-JUL-17 18:08:00,CST-6,06-JUL-17 18:08:00,0,0,0,0,0.00K,0.00K,Public,2.00,,,,,,,,,,,1,N,HAYWARD ARPT,1,N,HAYWARD ARPT,46.04,-91.45,46.04,-91.45,"Several severe thunderstorms moved across northern Wisconsin and produced large hail and strong, gusty winds. Hail stones ranged in size from dime size up to a hen's egg size. The winds blew down several trees.",,CSV
201707,6,1821,201707,6,1821,118522,712086,WISCONSIN,55,2017,July,Hail,C,113,SAWYER,DLH,06-JUL-17 18:21:00,CST-6,06-JUL-17 18:21:00,0,0,0,0,,,Public,1.00,,,,,,,,,,,4,NW,WINTER,4,NW,WINTER,45.86,-91.07,45.86,-91.07,"Several severe thunderstorms moved across northern Wisconsin and produced large hail and strong, gusty winds. Hail stones ranged in size from dime size up to a hen's egg size. The winds blew down several trees.",,CSV
201707,6,1833,201707,6,1833,118522,712087,WISCONSIN,55,2017,July,Hail,C,113,SAWYER,DLH,06-JUL-17 18:33:00,CST-6,06-JUL-17 18:33:00,0,0,0,0,,,Amateur Radio,0.75,,,,,,,,,,,1,W,ROUND LAKE,1,W,ROUND LAKE,46.02,-91.36,46.02,-91.36,"Several severe thunderstorms moved across northern Wisconsin and produced large hail and strong, gusty winds. Hail stones ranged in size from dime size up to a hen's egg size. The winds blew down several trees.",,CSV
201707,19,1515,201707,19,1515,118399,711510,IOWA,19,2017,July,Thunderstorm Wind,C,189,WINNEBAGO,DMX,19-JUL-17 15:15:00,CST-6,19-JUL-17 15:15:00,0,0,0,0,0.00K,0.00K,Trained Spotter,56.00,EG,,,,,,,,,,1,E,THOMPSON,1,E,THOMPSON,43.37,-93.77,43.37,-93.77,"Strong thunderstorms initiated well to the west of the area the previous night, primarily in western South Dakota, and proceeded to track east southeast through the morning towards northern Iowa.  By the afternoon, instability had picked up to around 3000-4000 J/kg MUCAPE with 50+ kts of effective bulk shear.  The result was a strong and damaging wind producing MCS that moved across north-central and northeast Iowa which produced a number of wind damage and wind gust reports.",Trained spotter reported an evergreen tree uprooted in their yard.  This is a delayed report and time estimated from radar.,CSV
201707,19,1523,201707,19,1523,118399,711511,IOWA,19,2017,July,Thunderstorm Wind,C,189,WINNEBAGO,DMX,19-JUL-17 15:23:00,CST-6,19-JUL-17 15:23:00,0,0,0,0,25.00K,0.00K,Law Enforcement,61.00,EG,,,,,,,,,,1,SE,FOREST CITY,1,SE,FOREST CITY,43.26,-93.64,43.26,-93.64,"Strong thunderstorms initiated well to the west of the area the previous night, primarily in western South Dakota, and proceeded to track east southeast through the morning towards northern Iowa.  By the afternoon, instability had picked up to around 3000-4000 J/kg MUCAPE with 50+ kts of effective bulk shear.  The result was a strong and damaging wind producing MCS that moved across north-central and northeast Iowa which produced a number of wind damage and wind gust reports.","County dispatch reported multiple broken windows, power lines down, and trees downed in town.  Time estimated from radar and this is a delayed report.",CSV
201710,27,500,201710,27,900,120997,724267,IOWA,19,2017,October,Frost/Freeze,Z,92,TAYLOR,DMX,27-OCT-17 05:00:00,CST-6,27-OCT-17 09:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,"The first cold air of the season pushed into the state and reached 32 degrees or less across western, northern, and parts of central Iowa.",,CSV
201707,19,1457,201707,19,1457,118399,711507,IOWA,19,2017,July,Thunderstorm Wind,C,109,KOSSUTH,DMX,19-JUL-17 14:57:00,CST-6,19-JUL-17 14:57:00,0,0,0,0,2.00K,0.00K,Social Media,61.00,EG,,,,,,,,,,1,E,LEDYARD,1,E,LEDYARD,43.42,-94.16,43.42,-94.16,"Strong thunderstorms initiated well to the west of the area the previous night, primarily in western South Dakota, and proceeded to track east southeast through the morning towards northern Iowa.  By the afternoon, instability had picked up to around 3000-4000 J/kg MUCAPE with 50+ kts of effective bulk shear.  The result was a strong and damaging wind producing MCS that moved across north-central and northeast Iowa which produced a number of wind damage and wind gust reports.",Public relayed pictures via twitter of trees snapped and other tree damage in the Ledyard area.  Time estimated by radar and this is a delayed report.,CSV
201707,19,1535,201707,19,1535,118399,711516,IOWA,19,2017,July,Thunderstorm Wind,C,81,HANCOCK,DMX,19-JUL-17 15:35:00,CST-6,19-JUL-17 15:35:00,0,0,0,0,0.00K,0.00K,AWOS,57.00,MG,,,,,,,,,,4,NNW,MILLER,4,NNW,MILLER,43.24,-93.62,43.24,-93.62,"Strong thunderstorms initiated well to the west of the area the previous night, primarily in western South Dakota, and proceeded to track east southeast through the morning towards northern Iowa.  By the afternoon, instability had picked up to around 3000-4000 J/kg MUCAPE with 50+ kts of effective bulk shear.  The result was a strong and damaging wind producing MCS that moved across north-central and northeast Iowa which produced a number of wind damage and wind gust reports.",Forest City Airport AWOS recorded a 66 mph wind gust.,CSV
201707,19,1539,201707,19,1539,118399,711518,IOWA,19,2017,July,Thunderstorm Wind,C,33,CERRO GORDO,DMX,19-JUL-17 15:39:00,CST-6,19-JUL-17 15:39:00,0,0,0,0,10.00K,0.00K,Law Enforcement,56.00,EG,,,,,,,,,,1,NE,CLEAR LAKE,1,NE,CLEAR LAKE,43.14,-93.37,43.14,-93.37,"Strong thunderstorms initiated well to the west of the area the previous night, primarily in western South Dakota, and proceeded to track east southeast through the morning towards northern Iowa.  By the afternoon, instability had picked up to around 3000-4000 J/kg MUCAPE with 50+ kts of effective bulk shear.  The result was a strong and damaging wind producing MCS that moved across north-central and northeast Iowa which produced a number of wind damage and wind gust reports.",Dispatch reported numerous trees down and power lines down. This is a delayed report and time estimated from radar.,CSV
201707,10,219,201707,10,219,118395,711479,IOWA,19,2017,July,Thunderstorm Wind,C,171,TAMA,DMX,10-JUL-17 02:19:00,CST-6,10-JUL-17 02:19:00,0,0,0,0,20.00K,0.00K,Law Enforcement,56.00,EG,,,,,,,,,,2,N,TRAER,2,N,TRAER,42.23,-92.47,42.23,-92.47,"During the evening of the 9th strong to severe storms initiated in parts of southern and western Minnesota near a surface low pressure center and attendant boundary and proceeded to move SE towards Iowa.  Eventually, prior to their entry into northern Iowa, the storms generally congealed and formed an MCS and rode the MUCAPE gradient S/SE into northern Iowa and produced numerous damaging wind reports and a couple for severe hail in the hours after midnight/early morning on the 10th.  The general environment was highly supportive for strong storms with MUCAPE values in excess of 2000 J/kg, and effective bulk shear in excess of 50 kts.",Law enforcement reported power lines blown down onto a semi trailer.  This is a delayed report and time estimated from radar.,CSV
201707,3,2115,201707,3,2115,118390,711451,IOWA,19,2017,July,Hail,C,73,GREENE,DMX,03-JUL-17 21:15:00,CST-6,03-JUL-17 21:15:00,0,0,0,0,0.00K,0.00K,Trained Spotter,1.00,,,,,,,,,,,1,E,PATON,1,E,PATON,42.17,-94.26,42.17,-94.26,"A weak frontal boundary floated around Iowa for a few days, acting as an area to initiate  afternoon thunderstorms.  In the vast majority of cases storms were sub-severe, but a few were near-severe to severe with regards to hail and wind within daily environments of 2000-3000 MUCAPE at times and effective bulk shear under 25 kts.",Trained spotter reported quarter sized hail.,CSV
201709,25,1521,201709,25,1521,119563,717421,IOWA,19,2017,September,Thunderstorm Wind,C,83,HARDIN,DMX,25-SEP-17 15:21:00,CST-6,25-SEP-17 15:21:00,0,0,0,0,10.00K,0.00K,Social Media,56.00,EG,,,,,,,,,,2,E,IOWA FALLS,2,E,IOWA FALLS,42.52,-93.23,42.52,-93.23,"A slow moving cold front worked its way across Iowa from northwest to southeast from the 24th through the 26th.  With its slow moving nature, it was a decent setup for areas to see repeated rounds of rainfall.  While the convective environment was not overly conducive for severe weather, a cluster of storms near Iowa Falls was able to produce damaging winds for a short period of time.  Otherwise, the overall setup produced training storms and heavy rainfall thanks to the slow moving front, unstable air mass, and mean winds flowing parallel to the front.  A number of locations received in excess of 3 inches of rainfall.","Public reported wind damage in and near Iowa Falls, including tree branches and power pole damage. This is a delayed report.  Time and location estimated based on radar.",CSV
201707,19,1645,201707,19,1645,118399,711526,IOWA,19,2017,July,Thunderstorm Wind,C,17,BREMER,DMX,19-JUL-17 16:45:00,CST-6,19-JUL-17 16:45:00,0,0,0,0,5.00K,0.00K,Broadcast Media,56.00,EG,,,,,,,,,,0,N,SUMNER,0,N,SUMNER,42.85,-92.1,42.85,-92.1,"Strong thunderstorms initiated well to the west of the area the previous night, primarily in western South Dakota, and proceeded to track east southeast through the morning towards northern Iowa.  By the afternoon, instability had picked up to around 3000-4000 J/kg MUCAPE with 50+ kts of effective bulk shear.  The result was a strong and damaging wind producing MCS that moved across north-central and northeast Iowa which produced a number of wind damage and wind gust reports.",KWWL reported via twitter of trees and power lines down in Sumner.  Time estimated from radar.,CSV
